epoch 1: steps 122, actor loss 0.681033, critic loss 0.492065
epoch 2: steps 138, actor loss 0.668927, critic loss 0.491271
epoch 3: steps 174, actor loss 0.687663, critic loss 0.492191
epoch 4: steps 136, actor loss 0.690271, critic loss 0.489694
epoch 5: steps 147, actor loss 0.67766, critic loss 0.488405
epoch 6: steps 153, actor loss 0.667068, critic loss 0.487533
epoch 7: steps 126, actor loss 0.661664, critic loss 0.485213
epoch 8: steps 162, actor loss 0.686305, critic loss 0.486698
epoch 9: steps 288, actor loss 0.67551, critic loss 0.488313
epoch 10: steps 129, actor loss 0.684132, critic loss 0.483026
epoch 11: steps 218, actor loss 0.684422, critic loss 0.485534
epoch 12: steps 127, actor loss 0.625316, critic loss 0.479714
epoch 13: steps 176, actor loss 0.663346, critic loss 0.481309
epoch 14: steps 178, actor loss 0.677479, critic loss 0.481047
epoch 15: steps 207, actor loss 0.670938, critic loss 0.481538
epoch 16: steps 153, actor loss 0.665362, critic loss 0.476944
epoch 17: steps 110, actor loss 0.65504, critic loss 0.472404
epoch 18: steps 144, actor loss 0.669271, critic loss 0.474572
epoch 19: steps 135, actor loss 0.657585, critic loss 0.472182
epoch 20: steps 155, actor loss 0.684186, critic loss 0.473475
epoch 21: steps 145, actor loss 0.631569, critic loss 0.469637
epoch 22: steps 122, actor loss 0.638884, critic loss 0.465541
epoch 23: steps 149, actor loss 0.655473, critic loss 0.468353
epoch 24: steps 137, actor loss 0.649847, critic loss 0.465437
epoch 25: steps 171, actor loss 0.64591, critic loss 0.466562
epoch 26: steps 156, actor loss 0.655818, critic loss 0.46421
epoch 27: steps 148, actor loss 0.643369, critic loss 0.462249
epoch 28: steps 155, actor loss 0.640231, critic loss 0.461507
epoch 29: steps 132, actor loss 0.66248, critic loss 0.457753
epoch 30: steps 171, actor loss 0.65205, critic loss 0.46017
epoch 31: steps 172, actor loss 0.627832, critic loss 0.458814
epoch 32: steps 144, actor loss 0.640307, critic loss 0.454081
epoch 33: steps 120, actor loss 0.660571, critic loss 0.449784
epoch 34: steps 148, actor loss 0.656716, critic loss 0.452587
epoch 35: steps 182, actor loss 0.665636, critic loss 0.45461
epoch 36: steps 149, actor loss 0.63508, critic loss 0.448696
epoch 37: steps 169, actor loss 0.623932, critic loss 0.447711
epoch 38: steps 206, actor loss 0.663146, critic loss 0.452805
epoch 39: steps 153, actor loss 0.640659, critic loss 0.444474
epoch 40: steps 135, actor loss 0.622235, critic loss 0.43884
epoch 41: steps 172, actor loss 0.650521, critic loss 0.444429
epoch 42: steps 109, actor loss 0.560734, critic loss 0.425602
epoch 43: steps 178, actor loss 0.635028, critic loss 0.440714
epoch 44: steps 147, actor loss 0.606959, critic loss 0.43148
epoch 45: steps 142, actor loss 0.643517, critic loss 0.432448
epoch 46: steps 142, actor loss 0.617296, critic loss 0.426804
epoch 47: steps 118, actor loss 0.589126, critic loss 0.418297
epoch 48: steps 162, actor loss 0.628856, critic loss 0.429941
epoch 49: steps 171, actor loss 0.630553, critic loss 0.430769
epoch 50: steps 140, actor loss 0.612511, critic loss 0.41986
epoch 51: steps 115, actor loss 0.596343, critic loss 0.410414
epoch 52: steps 154, actor loss 0.633905, critic loss 0.424242
epoch 53: steps 196, actor loss 0.633968, critic loss 0.426703
epoch 54: steps 182, actor loss 0.624838, critic loss 0.42021
epoch 55: steps 132, actor loss 0.576215, critic loss 0.40278
epoch 56: steps 184, actor loss 0.622536, critic loss 0.416879
epoch 57: steps 156, actor loss 0.615374, critic loss 0.409768
epoch 58: steps 130, actor loss 0.595894, critic loss 0.399771
epoch 59: steps 159, actor loss 0.589258, critic loss 0.401616
epoch 60: steps 149, actor loss 0.59961, critic loss 0.396902
epoch 61: steps 159, actor loss 0.613646, critic loss 0.408022
epoch 62: steps 167, actor loss 0.598583, critic loss 0.397627
epoch 63: steps 210, actor loss 0.612668, critic loss 0.402967
epoch 64: steps 156, actor loss 0.581219, critic loss 0.384475
epoch 65: steps 152, actor loss 0.588315, critic loss 0.392201
epoch 66: steps 181, actor loss 0.58726, critic loss 0.394721
epoch 67: steps 153, actor loss 0.57651, critic loss 0.380644
epoch 68: steps 127, actor loss 0.541513, critic loss 0.364012
epoch 69: steps 156, actor loss 0.568712, critic loss 0.378614
epoch 70: steps 171, actor loss 0.571755, critic loss 0.375649
epoch 71: steps 174, actor loss 0.582534, critic loss 0.381979
epoch 72: steps 163, actor loss 0.566192, critic loss 0.375733
epoch 73: steps 137, actor loss 0.559874, critic loss 0.369166
epoch 74: steps 123, actor loss 0.546055, critic loss 0.354394
epoch 75: steps 161, actor loss 0.567382, critic loss 0.375297
epoch 76: steps 138, actor loss 0.547749, critic loss 0.359714
epoch 77: steps 185, actor loss 0.560667, critic loss 0.366348
epoch 78: steps 165, actor loss 0.564767, critic loss 0.376416
epoch 79: steps 195, actor loss 0.569077, critic loss 0.360463
epoch 80: steps 169, actor loss 0.527375, critic loss 0.335466
epoch 81: steps 142, actor loss 0.511637, critic loss 0.348445
epoch 82: steps 162, actor loss 0.54458, critic loss 0.347313
epoch 83: steps 254, actor loss 0.562171, critic loss 0.365517
epoch 84: steps 140, actor loss 0.508174, critic loss 0.320102
epoch 85: steps 144, actor loss 0.505101, critic loss 0.34463
epoch 86: steps 153, actor loss 0.523471, critic loss 0.333255
epoch 87: steps 209, actor loss 0.543868, critic loss 0.340468
epoch 88: steps 149, actor loss 0.526917, critic loss 0.338169
epoch 89: steps 213, actor loss 0.535456, critic loss 0.333437
epoch 90: steps 205, actor loss 0.540637, critic loss 0.349042
epoch 91: steps 169, actor loss 0.508889, critic loss 0.320606
epoch 92: steps 198, actor loss 0.524285, critic loss 0.342035
