epoch 1: steps 129, actor loss -0.96358, critic loss 0.46796
epoch 2: steps 126, actor loss -0.961738, critic loss 0.466281
epoch 3: steps 181, actor loss -0.966606, critic loss 0.469998
epoch 4: steps 154, actor loss -0.961605, critic loss 0.465921
epoch 5: steps 157, actor loss -0.96122, critic loss 0.465533
epoch 6: steps 188, actor loss -0.962047, critic loss 0.46595
epoch 7: steps 168, actor loss -0.959677, critic loss 0.464261
epoch 8: steps 176, actor loss -0.959355, critic loss 0.463648
epoch 9: steps 155, actor loss -0.955438, critic loss 0.460382
epoch 10: steps 178, actor loss -0.957349, critic loss 0.461774
epoch 11: steps 148, actor loss -0.952293, critic loss 0.457796
epoch 12: steps 219, actor loss -0.958352, critic loss 0.462516
epoch 13: steps 230, actor loss -0.957954, critic loss 0.462278
epoch 14: steps 174, actor loss -0.95202, critic loss 0.457394
epoch 15: steps 159, actor loss -0.947728, critic loss 0.454006
epoch 16: steps 165, actor loss -0.947191, critic loss 0.453107
epoch 17: steps 156, actor loss -0.945159, critic loss 0.451455
epoch 18: steps 172, actor loss -0.945634, critic loss 0.451521
epoch 19: steps 148, actor loss -0.940483, critic loss 0.448601
epoch 20: steps 209, actor loss -0.948058, critic loss 0.453762
epoch 21: steps 139, actor loss -0.936117, critic loss 0.444246
epoch 22: steps 154, actor loss -0.938137, critic loss 0.446077
epoch 23: steps 211, actor loss -0.945488, critic loss 0.451473
epoch 24: steps 165, actor loss -0.937654, critic loss 0.446341
epoch 25: steps 147, actor loss -0.932979, critic loss 0.442409
epoch 26: steps 130, actor loss -0.927195, critic loss 0.437954
epoch 27: steps 234, actor loss -0.942943, critic loss 0.448783
epoch 28: steps 161, actor loss -0.931274, critic loss 0.440739
epoch 29: steps 189, actor loss -0.935124, critic loss 0.445142
epoch 30: steps 183, actor loss -0.933319, critic loss 0.442297
epoch 31: steps 136, actor loss -0.922324, critic loss 0.433023
epoch 32: steps 134, actor loss -0.920033, critic loss 0.431839
epoch 33: steps 184, actor loss -0.929584, critic loss 0.440163
epoch 34: steps 158, actor loss -0.922771, critic loss 0.435298
epoch 35: steps 169, actor loss -0.924548, critic loss 0.436351
epoch 36: steps 276, actor loss -0.936973, critic loss 0.443674
epoch 37: steps 192, actor loss -0.926145, critic loss 0.436493
epoch 38: steps 206, actor loss -0.927597, critic loss 0.437615
epoch 39: steps 165, actor loss -0.918669, critic loss 0.431105
epoch 40: steps 188, actor loss -0.921239, critic loss 0.433573
epoch 41: steps 141, actor loss -0.909015, critic loss 0.425114
epoch 42: steps 193, actor loss -0.919945, critic loss 0.431882
epoch 43: steps 167, actor loss -0.913279, critic loss 0.426054
epoch 44: steps 143, actor loss -0.904172, critic loss 0.423213
epoch 45: steps 249, actor loss -0.92349, critic loss 0.434384
epoch 46: steps 166, actor loss -0.907935, critic loss 0.424653
epoch 47: steps 234, actor loss -0.91886, critic loss 0.432193
epoch 48: steps 146, actor loss -0.899799, critic loss 0.414425
epoch 49: steps 162, actor loss -0.903273, critic loss 0.416712
epoch 50: steps 141, actor loss -0.894578, critic loss 0.41098
epoch 51: steps 237, actor loss -0.914663, critic loss 0.429918
epoch 52: steps 166, actor loss -0.898942, critic loss 0.421299
epoch 53: steps 186, actor loss -0.901969, critic loss 0.417206
epoch 54: steps 187, actor loss -0.901386, critic loss 0.417195
epoch 55: steps 204, actor loss -0.903585, critic loss 0.418015
epoch 56: steps 158, actor loss -0.890452, critic loss 0.410449
